AGE	HT	WT	BF	BMI	SIT-UP	40-YD	VJ	SIT/REACH	BP	LP200	LP	BP60
14	60	108	21.5	21.1	37	5.81	15.5	21	80	15	295	10
15	68	119	15.5	18.1	36	5.6	15	25	85	35	330	12
15	67.25	152	27.1	23.6	26	6.02	19.5	17	85	23	410	20
14	67	158	29.2	24.8	21	6.28	16.5	23	65	18	340	5
14	68	155	27.2	23.6	30	6.29	16	18	95	27	380	12
15	68	128	21.4	19.5	29	5.8	16.5	20	75	19	370	10
17	67	170	28.9	27.1	27	6.7	16	25	90	35	385	13
15	67.5	129	19.7	19.9	23	6.12	16.5	16	85	11	270	8
15	67.25	142	21.7	22.1	32	6.32	13	25.5	90	24	390	14
14	65	175	31.9	29.1	10	6.34	16	19	105	25	380	15
14	61	99	18.1	18.7	39	5.67	19.5	13	65	8	260	3
14	63	116	23.8	20.5	25	6.01	17	17	65	11	270	5
16	65	132	24	22	27	6.13	15	15	70	13	285	5
14	64.25	128	21.6	21.7	37	5.78	18	20	85	29	370	10
16	63	132	23.9	23.4	31	5.84	18	16	80	30	370	15
14	70	151	26.3	21.7	11	6.33	14.5	21	65	20	365	2
16	65	128	25	21.3	30	6.31	15	24	75	20	430	14
14	67	162	27.7	25.8	30	6.36	14	20	75	25	385	9
16	66.5	138	23.1	21.9	29	5.73	14.5	21.5	90	19	340	12
14	65	121	20.9	20.1	33	6.12	16.5	20	70	12	285	5
16	73	200	30.5	26.4	30	6.39	17	23	85	35	420	12
15	67	188	32.8	29.4	17	6	14.5	18.5	75	30	390	6
15	68.75	139	20.7	20.7	32	6.25	16	24	90	18	355	16
17	67	141	24.5	22.1	33	5.98	18.5	23	95	35	380	14
15	65.5	167	29.6	27.4	32	5.38	19.5	16.5	105	35	380	17
15	68	162	27.5	24.6	20	5.59	16.5	21.5	90	30	370	10
16	64	133	24.1	22.8	22	6.52	17	20	75	26	355	6
15	63.25	127	23.9	22.1	28	5.93	17	16.5	60	17	300	4
15	65	118	21.3	19.6	26	5.97	13.5	18	70	13	295	2
15	61.5	129	26.6	24	32	6.18	17	17	115	30	375	30
16	66	160	31.3	25.8	32	5.87	12	22	80	35	480	20
14	66.5	117	20.2	18.6	28	5.19	15	18	60	12	290	3
14	64	170	33.3	29.2	23	6.25	13	15.5	85	24	340	4
16	66	138	26.3	22.3	34	6.11	13.5	19	65	10	280	2
14	64	108	18.8	18.5	21	6.5	12	17	65	12	290	7
17	69.25	208	34.6	30.5	12	6.34	15.5	18	95	35	490	20
14	67	137	23.2	21.4	16	6.22	11.5	20	65	23	345	13
15	65.25	112	17.8	18.5	30	6.39	12.5	18	65	11	280	3
14	62	109	17.8	19.9	35	5.61	15.5	17	65	10	310	4
17	66	128	21	20.7	30	5.72	17	18	70	35	385	12
16	64	119	20.4	20.4	24	6.8	15	23	80	15	335	8
14	68	154	29.6	23.4	20	5.84	13.5	16.5	80	15	310	6
14	62.5	171	35.7	30.8	19	6.65	10.5	22	75	27	350	12
14	65	115	20.5	19.2	26	5.64	11.5	21	65	13	270	8
14	64.5	170	33.2	28.7	23	6.33	14	20	75	32	360	10
14	64	105	18.7	18	39	5.4	19.5	21	80	11	300	11
15	64	124	23.7	21.4	31	5.7	16	22	75	11	260	4
16	64.5	127	24.5	21.5	32	5.84	17	17	70	12	280	4
14	64.75	118	23.2	19.8	26	6.64	13.5	18.5	65	15	340	4
17	71	153	22.2	21.3	35	5.81	19	26	85	26	500	20
15	63.5	124	22.4	21.3	35	6.14	13	17.5	80	15	305	11
14	65	165	34	30.1	18	6.45	14	20	75	29	350	11
18	68	135	28.3	22.2	25	5.84	17	23	105	32	400	30
18	65	135	29.3	23.2	29	5.59	16.5	23	115	26	390	35
18	68	194	34.1	29.5	16	6.56	13	16	80	35	480	20
16	63	129	24.3	22.9	26	5.54	17	24	90	30	380	13
17	63	130	24.1	23	29	5.84	17	24	90	28	380	15
