Year,Distance,Sex
1948,7.82,Male
1952,7.57,Male
1956,7.83,Male
1960,8.12,Male
1964,8.07,Male
1968,8.9,Male
1972,8.24,Male
1976,8.35,Male
1980,8.54,Male
1984,8.54,Male
1988,8.72,Male
1992,8.67,Male
1996,8.5,Male
2000,8.55,Male
2004,8.59,Male
2008,8.34,Male
2012,8.31,Male
2016,8.38,Male
1948,5.7,Female
1952,6.24,Female
1956,6.35,Female
1960,6.37,Female
1964,6.76,Female
1968,6.82,Female
1972,6.78,Female
1976,6.72,Female
1980,7.06,Female
1984,6.96,Female
1988,7.4,Female
1992,7.14,Female
1996,7.12,Female
2000,6.99,Female
2004,7.07,Female
2008,7.04,Female
2012,7.12,Female
2016,7.17,Female
